location,review,name,user_profile,userloc,rating
bageshwar,"There are 3 hotels in the same campus, kausani retreat, new pine and maitri homes all properties of single owner managed by different managers, we had booking in kausani retreat, they have total 37 rooms in all 3 hotels. They show pics of only the best rooms which are only 5 in number and take bookings of 37 rooms. Kausani retreat are complete cheaters... the photos on make my trip and goibibo are misleading... Your experience gets even worse once you start interacting with them. Foul mouthed manager putting blame on agent in Delhi who manages online listings. When we mentioned about filling a FIR with police station, their whole behaviour changed. But that could not make up for overall bad experience. Please be away from these hotels. Less said is better about this experience.",MaheshSKabra,/Profile/MaheshSKabra,"Pune, India",10
bageshwar,"There are 3 hotels in the same campus, kausani retreat, new pune and maitri homes all properties of single owner managed by diff managers, we had booking in kausani retreat, they have total 37 rooms in all 3 hotels. They show pics of only the best rooms which are only 5 in number and take bookings of 37 rooms. Kausani retreat  are complete cheaters... To others they offer cheap rooms,the photos on make my trip and goibibo are misleading... Please be away from these hotels. The rooms are not worth paying more than 200",abhayatal,/Profile/abhayatal,"Pune District, India",10
bageshwar,"behavior of manager was tooooo bad. He did not even know how to talk with a human being even a lady. Food quality was so so,quantity was very low for a single person. Room was not so much good as charged from any one.",Biswajit K,/Profile/BiswajitK48,,10
bageshwar,"Went there in last October. This hotel is good for average budget. Rooms, bathrooms and terrace was nice, cleaned. Hotel boys were helpful . But u can hv some lack of sunlight in the early morninh.And I can't hv a nice view of sun or mountain scenery as it is situated in the other side of the hill.",Reek D,/Profile/reekd2016,,40
bageshwar,"Reasonably priced, comfortable stay, helpful staff and very good manager Mr. Pradeep Bisht, always ready to help out with any problem or need..... Our car needed minor repairs, we wanted all rooms on ground floor, we needed tea at 9 pm after we arrived from delhi - everything was arranged with a smile by Mr. Bisht.",Sangam T,/Profile/sangamt2017,"New Delhi, India",40
bageshwar,"I visited Kausani in May 2017 with my wife.  Both senior senior citizens nearing 65 years.  V were given rooms in third floor, with no proper staircase, all broken.  Was difficult to reach and once u reach, difficult to come down.  No in house restaurant, a restaurant in side hotel was also catering to their needs.   Did not get dinner in time, order was given by me at 5.oo p.m. and dinner served at 9.00 p.m.  Will not recommend  to anyone,.",Madan P,/Profile/madanpande,"New Delhi, India",20
bageshwar,25Dec2016 - The hotel is new and I found only our family staying. Probably this happened as they have no view. You have to walk 200 metres near the market to get a view. The staff was good. Food was brought from a different hotel by the staff. Food in Kausani overall is not so good. The hotel is quite economical. Rooms are not too spacious for good for a night.,Subhojit C,/Profile/subhojitc500,"Kolkata, India",30
bageshwar,"We were truly satisfied this hotel rooms and loved the location but we were disappointed for improper functioning of the following: i.	Hot water was not available. ii.	No  water filter was existing. iii.	Preparation of food is not at all up to our mark.  Overall, It is a budget hotel for enjoyable stay.  Dr TK Guha Roy & family, Mall Road, Kolkata-80",DrTKGuhaRoy,/Profile/DrTKGuhaRoy,"Kolkata, India",40
bageshwar,"We had a good stay at this hotel. The staff are so nice and went out of their way to help us. Our room was basic but fine. There was no real shower, just a tap and a jug, but the staff did offer us hot water if we wanted it. Good location just 5 minutes from Kausani centre with lovely views over the hills. We got up at 5am to watch sunrise a walk away in Kausani and would definately recommend to do that! ",Sophie K,/Profile/SophWK,,30
bageshwar,I visited the hotel for the second time. The managemnt has totally changed probaly it is now owned by some proffessionals. All toilets r western nd mordenised. The best hotel in its class in relation to.money.  Food was clean at a very reasonble rate as . Rooms were neat. Id recommend every one to.visit dis hotel. It will.remain in budget nd u get a very good service here.  ,vibhor k,/Profile/vibhork320,,50
