location,review,name,user_profile,userloc,rating
uttarkashi,"We stayed in Anand Ganga for 10 days and loved every moment. The river side location in unparalleled. Nice, clean rooms. Sweet and comfortable yoga hall. Tasty breakfast (you can order lunch and dinner as well). Great hikes around. And above all, Krishna, the host: warm, friendly, helpful, fluent English, certified Yoga teacher...the rest of the team are great as well.  Highly recommended.  Michael Israel",Michael P,/Profile/A1269KNmichaelp,"Tel Aviv, Israel",50
uttarkashi,"We came to Anand Ganga, thinking we will stay here for a day or two but end up staying there more than a week. The place is situated on the banks of the Ganga river. You can sit on the balcony watching the river flow. High foresty mountains in the background and butterflies and birds fly around you.  Krishna the owner is the most welcoming host. He kept making sure all our needs are being taken care off. His English is great so it is very easy to communicate with him. He has alot of knolidge and he is happy to share it. The rooms are very homey,comfortable and clean. Lots of beautiful hikes all around. Highly recommended!",Nurit,/Profile/NuritP16,,50
uttarkashi,"I stayed here after trekking in the Himalayas.  The place was a perfect respite and Krishna a beautiful and kind host.  The location is off the main road and directly on the river so it is peaceful and quiet. There are lanais on all levels where you can sit and enjoy the view of the gardens, river and mountains. Food and drink served in the dining room is fresh and sattvic (healthy and made with care).  This would be a great place to have a yoga retreat given the physical location (mountains, river) and a relatively large room for groups to practice.  It is away from the main town of Uttarkashi but easy enough to get to.  I hope to return to the Uttarkashi area and would stay here for a longer time so I can benefit from the special place and Krishna's grace.",JeanInHawaii,/Profile/JeanInHawaii,"Makawao, Hawaii",50
uttarkashi,"I stayed here for 2 night with my family and can't explain the feelings in words. It's just like heavenly feelings. It is not just like a regular hotel rather I can explain, it is a nest with lots of love and affection with holiness beside the Serine Ganga Maa. The whistling sound of Ganga Maa just awesome.  The owner Krishna Ji Bijalwan is a nice person and very very helpful. He is just like an Angel of this heaven. He is very much straight forward person. he is always ready to help others without any vested interest. We really love Krishna Ji and assume him as our family member.  The three boys present at Anand Ganga are superb and always ready to serve you with smiling face. The name Anand Ganga really justified because here we get lot of joy i.e. Anand and observe",AnirbanHowrah,/Profile/AnirbanHowrah,"Howrah, India",50
uttarkashi,"We all had a wonderful relaxed stay at Anand Ganga for a week after our Do Dham yatra. It's a  very picturesque, beautiful, pristine place with Ma Ganga flowing just a few meters away. Staying in AG gave us a homely feeling. Krishnaji is a down to earth, lively person and took utmost care to make us all have a comfortable stay. Place is clean and well maintained.Surly wish to visit again. Thank you Krishnaji.",Rajeshwari k,/Profile/252rajeshwarik,,50
uttarkashi,"One of the best and most peaceful places I have been to. The owner Mr Krishna is a great person and very particular about the cleanliness and food. The staff is also very helpful and double up as great cooks. Amazing place for peace of mind and rejuvenation. It is not only a yoga retreat as projected but also a place for total relaxation. Right on the banks of the Bhagirathi(Ganga) River, the location is Divine.",Amar M,/Profile/amarsuryakantm,"Mumbai, India",50
uttarkashi,"The place: in the shade 21 hours a day, surrounded by abandoned buildings. People not friendly around. The owner: not at all a master of Yoga, too egocentric and charming The food: very poor quality and extremely expensive",Anshu S,/Profile/AnshuS237,,10
uttarkashi,"3 days in a beautiful place very close to Ganga Ma. The only sound you can hear is the sound of the holy river flowing close to your room. The owner, Krishna, and all his family and staff are very friendly and ready to satisfy your request. I found it very comfortable and clean and I appreciated the Yoga Shala to practice meditation and yoga and that all the area is a no-smoking one. By walk you can visit a small village, enjoy cows and farmers and, most of all, enjoy the listening and the watching of Ganga. Thanks for all Krishna.",Sasy_Cacace,/Profile/Sasy_Cacace,"Los Angeles, California",50
uttarkashi,"I spent 8 days at the Ananda Ganga Retreat and it was one of the best vacations I've had till now:-) I am so glad I stayed there and not in Gangotri as I was thinking at one point of time. I was looking for a quiet, beautiful, comfortable place in Uttarakhand that would be along the Ganges and have pleasant weather. Also that wouldn't be too expensive. Frankly I didn't have high hopes of finding such an ideal place. Something or the other is always amiss. So I was very pleasantly surprised to find Ananda Ganga.  The rooms are very clean, comfortable and well-lit. So are the washrooms. And I really mean it. Not like some hotels that post nice pictures on their websites and it turns out to be a horror. The owner, Krishna, is a very conscientious host and is particular about",Gaurav P,/Profile/GauravP972,,50
uttarkashi,"I visited there in end of Feb. It's a little cold at night and in the morning,but in day time its very warm. This guest house is on Ganga river, and is surrounded with mountains. In a condition of isolation so,very peaceful and quiet. The owner ,Krishina is very kind and helpful,so I could spend my own time at ease. The facility is well cared and clean.They have Yoga room there,so I did my practice with Krishina.  They served simple but delicious food and tea,every day.",hiddy23,/Profile/hiddy23,"Kyoto, Japan",50
