location,review,name,user_profile,userloc,rating
lahul_spiti,Camps is pretty cool place to stay around Jispa. Surrounded by lush green fields & a pleasant environment. Camp is comfortable & clean.The Quality of food is good.Tariffs are so economical too Recommended for stay at Jispa,abhi420,/Profile/abhi420,"Indore, India",40
lahul_spiti,"We found the setting, quality of camp site, cleanliness and staff superb but creeped out by earwigs and spiders in the tent.  One hitched a ride to Leh... crawled out of our Laundry 2 days later.  Bathroom was One of better in 3 camps we stayed in.  Dining area was great ( hurray for gravel over dirt floor) and food was excellent.  Very nice manager and staff.  Recommend walking along river and taking the cAble pulley basket over to other side.   Big thrill for us urban dwellers.",STM666,/Profile/STM666,"Pasadena, California",40
lahul_spiti,"Stayed here with family&  friends on 29 Aug 2019 enroute Leh from Manali. Location of camp is by the banks of river Bhaga...very beautiful location. It was not very cold in late August. The camp fire in the night added to the fun...everyone had a good time singing and enjoying the chilly weather.  Hot water was available in bathrooms. Room in the tent was clean, toilets were clean as well. Beds were a bit too soft for my liking. Blankets/clean towels were provided.Charging point for laptop/mobile phone/camera is available in the tent. BSNL postpaid sims work here. Not sure about others.  We just enjoyed the beautiful location by the river side as we reached the camp grounds when there was sufficient light.Took a lot of pics of the glorius sunset...the shimmering light on the",YP Kishore,/Profile/ypk_123,"Visakhapatnam (Vizag), India",40
lahul_spiti,Calm and peaceful atmosphere  Riverside view  Tents are neat and clean.  Variety of food with good quality beyond expectations in this area.  Awesome location in the lap of nature  Camp fire  Only BSNL postpaid will work in this area.,Keyur Surti,/Profile/keyur23690,,40
lahul_spiti,"we are there for night halt and after seeing actual condition of tent we are scared , in toilet /bathroom big grass  is all over. they are giving real experience of camping at forest and there service is also very  poor.",vishal p,/Profile/vishalp1665,,20
lahul_spiti,"For the remote location this camp provided all that was needed. Tents were great, beds comfortable and warm, food suitable for our trip (acclimatizing to altitude), a campfire added atmosphere. These guys are also trying their best to protect the fragile local environment. Great stay for us.",Joe H,/Profile/L3451XVjoeh,"Masterton, New Zealand",50
lahul_spiti,"I would say this is the best camp in Jispa in terms of location as well as the facilities and amenities provided. Visited with friends, all couples and stayed here for a night while enroute to Leh from Manali. Many people stay in Keylong, but if you are ready to spend a bit more and want to enjoy the views, stay in a tent and soak in the nature's lap you can definitely check in here. The staff was courteous and the food provided for bufet was also nice. Only thing was for hot water it was literally hot running water provided to us in buckets, which is fine considering it was 4 am in the morning and the remote location.",sayam49,/Profile/sayam49,Kolkata,50
lahul_spiti,We stayed in this camp while returning from Leh to Manali. This was just a resting one night stay but after arriving at camp it turned out to be a good location in itself. This is located next to lively bhaga river amongst beautiful mountain view. So do take time to explore camp grounds. There were well maintained vegetable fields in camp grounds just next to tents. Insects are common inside tents everywhere but you will meet wild things in wild so it was fun.  Both buffet dinner and breakfast was good and some of us enjoyed tasty chicken after all veg food in Ladakh. In August month we did not need winter jacket here.,sonal shirwant,/Profile/sonal1687,,40
lahul_spiti,Location very good but food average  Lots of insects in tent Hot water only half bucket provided in morning On the river bank and very good view from that location  Night time lights are switched off so carry a small torch  Bed were fine   ,AJITPATEL62,/Profile/AJITPATEL62,"Harrow, United Kingdom",20
lahul_spiti,we stayed there for a night and our experience was horrible their staff is very bad they disagree at the last moment the promises they made very poor services the staff just look to loot the customers and for breakfast they only gave us bread and jam butter and told rest of the things are not made don't visit this place at any cost,Tushar K,/Profile/TusharK489,,10
lahul_spiti,"This is a nice place to stay for a night on the way to Leh. Camps were good. Situated in a wonderful valley, from where you can experience the icy view of Mountains and Bhag river. A very very ferocious tidal river. They provided very good food both for dinner and breakfast. Stay alert for heavy wind, which makes this place always chill.",tarmaniYNWA,/Profile/tarmaniYNWA,"Dhaka City, Bangladesh",50
lahul_spiti,"I and the group I went with, all of them had booked this hotel based on 2017 reviews and we regret it. The tents were average and slightly torn, take it or leave it attitude of the staff, hot water in their definition is warm water in our dictionary. With one bucket warm water 2 ppl are to take bath ..when mixed with freezing cold water I wonder 2hat difference that one bucket of water would make for us. The food is pathetic...I am not exaggerating. I would totally suggest skip this place. There are many good places around this area. P.s.  the Swiss cottages and normal cottages don't have any difference. So don't waste money booking it.",Sadhana H,/Profile/sadhanah2016,,10
lahul_spiti,"Jispa, a picturesque village in the Lahaul District of HimachalPradesh, along the ManaliLehHighway and Bhaga river, can be a beautiful pit stop for the onward drive to Leh, as we discovered in our tent resort surrounded with looming mountains. We were there almost at the closing season in August and there were hardly any travellers. The campsite covers a wide area and is set within apricot orchards. Tents are comfortable with modern bathrooms, but can it can get really cold during the night. There was a slight powdery drizzle. The bedclothes, pillows etc. seemed to be soaked in moisture from the air. It is advisable to carry a folding iron.For a comfortable sleep we ran the iron over sheets and pillows to make them somewhat moisture free. Electricity from generator is available",Debarati D,/Profile/DebaratiNM,"Navi Mumbai, India",40
lahul_spiti,"We stopped here for 1 Night on our way to Leh, the Camp is really recommended for anyone looking for a nightly halt, we booked our tents 1 month advance so we didn't had any trouble. Most of the tents were occupied and tents were in really good condition. Nice clean Toilets and clean beds, though there were some mosquitoes around but they were the friendly neighborhood.   The dinner served was decent, some basic food but the breakfast wasn't something I liked very much.",NEERAJ J,/Profile/NEERAJJ218,"New Delhi, India",40
