location,review,name,user_profile,userloc,rating
ladakh,"If you go to visit Pangong, you must stay at The Hermitage for that special experience. They have individual cottages covered with glass which opens to the direct view of the lake! Fascinating is the word. You can witness sunrise/sunset from the coziness of your blanket! The rooms are very spacious, well decorated with room heater. Bathrooms too are very spacious with constant hot water which is a must in that kind of weather in winter! Food was outstanding. Excellent hospitality by the staff. Only if they could provide electric kettle, it would have been a perfect stay.",aparna2009,/Profile/aparna2009,"Bengaluru, India",50
ladakh,"We spent 2 nights at this place and the tents are very well appointed. The heating is perfect, even in the bathroom. The beds are very comfortable and the rooms are a good size. There are total 8 tents and the views of the lake are spectacular. One can lie in ones bed and enjoy the changing colors of the lake.  The only drawback of this place is that the drive to this place is very challenging. So once you get here leave only when you have to. The service is attentive and personal. The food is homely and fresh. Comfort at 14000 feet.",Aartichand,/Profile/Aartichand,"Mumbai, India",40
ladakh,We stayed their while we were travelling to Pangong So lake. They have rooms which are better than normal tents at any given point of time. They serve delicious food without a doubt. Service is quick and excellent. They make their efforts so that you have a comfortable stay. Plus they have space so that drivers can stay as well since they are the ones who drive you all the way their.,Nitasha D,/Profile/nitashad2017,"Gurugram (Gurgaon), India",50
ladakh,Hermitage at Pangong lake located in Man village is the best property in all of Pangong Lake area.  There are 8 yurts which include all the amenities.  While a solid structure is a rarity in Pangong (which basically offers tents) Hermitage even has central heating which includes a heated bathroom.  Pangong Lake can suddenly get very cold with strong winds.  Every yurt offers a beautiful view of the lake and its changing colours which can even be seen while lying in your bed.  Its a five minute walt to the banks of the lake.  Service is very good (since its a part of Ladakh Sarai Group).  There is no better place than Hermitage to stay in Pangong Lake (even though its about 8 km from the main area -Spagmik).,GauravChand,/Profile/GauravChand,"Mumbai, India",50
ladakh,"The Hermitage at Pangyong is an island of comfort at 14,000+ feet! The Hermitage is not only heated, spacious and comfortable - the staff is also extremely hospitable and friendly. In such harsh conditions they are also offering fabulous food to their guests. The complete experience is wonderful. Having stayed at Pangyong earlier at other properties - we KNOW the difference!",Sunilarora57,/Profile/Sunilarora57,"New Delhi, India",50
ladakh,"We spent two nights at this mesmerizing property in June this year and now we feel it would have been great to spend a few more nights here. I have no hesitation in mentioning that Pangong Hermitage exceeded my expectation in every possible way. The location is probably the best in Pangong, seven kilometers away from the crowded Spangmik. Being avid bird lovers, we spent two days spotting and clicking plenty of birds. The entire team was extremely helpful and often went out of the way to make sure that we have a great time. Finally, I would also thank the kitchen team for the beautiful dishes they prepared for us.   Would love to be here again during our next trip to Ladakh.",Indranil b,/Profile/IBhattacharjee,"Kolkata, India",50
ladakh,Absolutely stunning top of the line Premium tented accommodation bought to  by Ladakh Sarai...you cannot ask for anything better at Pangong Tso ..quality of room..food..service ..excellent !!!!  Once again Rigzin and his team have done a super job with the place.,Ovi,/Profile/rajesho619,"Pune, India",50
ladakh,This is one of the best hotels at Pangong Lake with a splendid view! Right on the pristine lake  with comfortable and classy rooms. The service is good. The location is remote and getting there can be difficult but once their its worth the trouble.Food is good and tasty the best possible in this kind of location. This is Paradise on earth,postcardsnpuchkas,/Profile/postcardsnpuchkas,"New Delhi, India",40
ladakh,"What a superb location it is. By the side of heavenly Pangong lake. Reaching here is quite an achievement; however once you are here, it's heaven.  It's a tent from outside and well constructed from within. The front side is full glass so that one can keep watching the beauty of the lake for hours, sitting in the comfort of the room. The outside is quite chilly and windy, sitting inside therefore is preferred especially in the evenings.  Nice cosy rooms. Excellent beds. Very good toilets. Not easy to get this in such a remote part of the country.  Very good food. Local food is very tasty and served very hot.   Staff has great attitude. Very helpful, cooperative and supportive.  It's an expensive place but worth it considering the facilities provided at such a remote place.",Satish P,/Profile/SatishP474,"Thane, India",50
ladakh,"We stayed for one night last week. First the Pros -  The location - Right on the pristine lake,in the middle of nowhere,far away from the other crowded messy campsites. Nothing can beat the location. The yurts - Unexpected luxury with heating,though they didnt have the bathroom radiator on.The bathroom otherwise was large & quite decent. Food - again unexpected....the dinner was good& more important fresh & hot. I was surprised that they served courses,all the starters were not good but largely the food was  appetising. Same with breakfast...the pancakes were fantastic,the paranthas & puris were good too. Again we were surprised at the variety. The service was decent. No TV & internet which was wonderful.  Now the cons- The location whie being great to admire the beauty of the",travelbugDelhi,/Profile/travelbugDelhi,"New Delhi, India",40
