location,review,name,user_profile,userloc,rating
ladakh,"Unfortunately I was only able to spend two days at the Indus River Camp but my experience there was absolutely incredible. Never have I ever had nicer, more helpful hosts. The food is out of this world and makes you not want to breakfast, lunch or dine anywhere else. Hearing the river flow at night and watching the sun rise above the mountains just opposite of your cottage/tent - those are experiences that you can’t put a pricetag on. Thank you Nico & Mary! ",Stefan D,/Profile/stefanlive,"Berlin, Germany",50
ladakh,"We returned to the camp for the second time, two years after our first visit. A lot has changed! The quality of the tents/huts is excellent, it’s now officially glamping. The structures have had a complete upgrade.   The dining area has also been upgraded, and moved to a more central location. The new and improved dining room has separate tables for guests and there is always a table waiting for your party size. There is also a nice chilling area with soft seating for relaxing and reading with mountain views opposite a massive hand painted wall mural which depicts the region, it was being completed whilst we were there.   The food was as excellent as I remembered if not better. Mary and her band of merry sous chefs again delivered genuinely delicious food throughout our trip. I",Donna_Duckworth,/Profile/Donna_Duckworth,Hong Kong,50
ladakh,"This property is located in an absolutely wonderful place right on the banks on Indus river. Right from the patio of our cottage or from the window of our bathroom, we could enjoy a stunning view of the magnificent Himalayas, some of its peaks capped with snow.   Nico turned out to be a fantastic local guide. He arranged all our local travel and drivers - and all his suggestions turned out to be top notch. Meals arranged by Mary and her team are generally delicious, especially considering the remote location. Also, they have a friendly, playful pet dog!  Would strongly recommend for anyone looking to get some time up close with nature",Dipanjan Dey,/Profile/deydipanjan,"Pune, India",50
ladakh,"NICO & MARY….. you guys are awesome and have create such a gem of a place …..I truly enjoyed staying at your place, the warmth and hospitality is priceless.     .The place is quaint , clam and the flow of Indus adds to the charm. The camps and the cottages are very well appointed. Nico, Mary and their awesome staff ensured every guest been taken care well.   Nico many thanks for taking the pain of sitting with me each day to chart out the  travel plan and also ensuring a comfortable experience during my travel to Tso Morri .   FOOD was unbelievably delicious and credit goes to Chef Mary and  her helping hands … each of the three course meal I really relished.. miss my Honey Ginger Tea and Kava !!  Special thanks to Mr Thinley for being a careful driver cum guide. Once again many",Venkisrs,/Profile/Venkisrs,"Dubai, United Arab Emirates",50
ladakh,"Let me start by first appreciating Nico, his wife and the entire team at Indus River Camp who was extremely helpful when I fell sick during our stay at Indus River Camp. Thank you so much for your support!  The place is beautiful, cottages are very well built and the views are amazing. But it was hard to find this place as there are no Sign Boards on the way and you have to understand the vague directions given by Nico to reach here.   The Biggest problematic thing here is the FOOD.  They have a set menu for Breakfast, Lunch and Dinner and there is no option for Ala-carte. You will have to eat what they serve which will cost you around ~INR 3500 per couple per day (for all the 3 meals). Things like Tea are Super Cheap, but other items like sandwiches, Omelette don't match the",Tushar Goel,/Profile/goeltushar23,"Bengaluru, India",30
ladakh,"Off the beaten track,surrounded by an amphitheater of majestic snow capped mountains,this is an adventurers oasis beside the Indus River.   Nico helped us plan our itinerary  according to the progress of our acclimatization.  Srivalli guided us through her thoughtful yoga routine alongside the tranquil flowing river.   We journeyed through the mystical landscape of Ladakh following the Indus River to its confluence, then to the quaint village of Alchi to enjoy the chocolate apricot mok moks of Alchi’s kitchen. On our return we reveled in the beauty of Likkir and the artistry of its legendary potter.   Our excursions included a guided trek up to the Hemis monastery at 4000m,  and an exhilarating 36km cycle back down to camp where you really get a feel for the peaceful beauty of",somdotcom,/Profile/somdotcom,"Johannesburg, South Africa",50
ladakh,"I don't usually write reviews on Tripadvisor but I thought this time I had to do it. I just wanted to share my amazing experience and stay at The Indus River Camp for 5 nights in June 2019. The location is just amazing along the river (the view is just WOW), the tent (I stayed in a tent) really beautiful and comfortable despite the cold night (I live in Cambodia so Ladakh is cold for me ahahah...). But the best of all is the hospitality of Nico and Mary and there staffs. Everyone has been so helpful and nice... thank you. Oh should I mention the amazing food served there from breakfast to dinner...  Saying that I m hoping to see you next year!  Greetings to the staff please!",Régis B,/Profile/537r_gisb,"Lyon, France",50
ladakh,"Imagine a place where the only buildings in your sight line are monasteries and on a clear night the stars fill the sky from horizon to horizon. Now imagine that this place serves three amazing meals per day, each one more delicious than the last. Picture the beautiful Indus River flowing by your comfortable cabin. This is Indus River Camp. The hosts Mary and Nico are gracious and welcoming. The staff are all terrific. My daughter and I only had two nights in May 2019 at this wonderful lodging, but plan to return with our entire family as soon as we can.  Wifi is available in the common room/dining room if you must get connected, but this is a camp so there are no televisions or digital distractions.",Laura P,/Profile/LauraP10452,,50
ladakh,This camp is located on the bank of mighty Indus- some 15-20 minutes away from the town of Leh.   Booking: Mr Skarma of Luna Ladakh Travels arranged for our booking in the camp. Mr Skarma is very kind and gem of a person. You can be rest assured that he will arrange all your travel and hotel requirements in Ladakh. Being a local his advises are of great help. Location: the camp is right on the Indus river bank downstream from Leh. Superb views from the camp and nice place for walk and bird watching. The place is surrounded by snow capped mountains. You will surely be mesmerized. Tents; Swiss tents are really comfortable with a comfy bed. Hospitality: You cannot have any issues with Nico and Mary around. Wonderful hosts. Nico is such a joy to talk to. Then there is Mary who,Rajkumar,/Profile/raj15561,"Kolkata, India",50
ladakh,"I have recently returned from staying 9 days at the Indus River Camp.  I found the camp to be very well run, very clean and comfortable and the food was delicious.  Further more, it has a great ecological ethos and much use is made of solar power.    The camp has a unique and totally unspoilt position beside the Indus River with the most lovely views, but yet it is only about 20 minutes from Leh.    A great deal of thought has gone into creating the accommodation.  The beds are extremely comfortable with very good bed linen and cosy duvets.  The bathrooms all have running hot water, good showers, large fluffy towels and flush loos.  Each tent or Swiss Cottage has wonderful views across the Indus River towards Shey Palace, Thiksey Monastery and the mountains beyond.  The food was",charles h,/Profile/B6079ZQcharlesh,,50
ladakh,"Indus River Camp was the epicenter of our recent trip to Ladakh. Not only did we spend three nights here in two parts, the resort's owner Nico arranged the cab, permits, and much more for us.   The location of the camp makes it one of the most beautiful places to stay in Leh. The entire team is extremely helpful and make the travelers feel at home. I have no doubt that I will be back here someday. Thanks again Nico !!!",Indranil b,/Profile/IBhattacharjee,"Kolkata, India",50
