location,review,name,user_profile,userloc,rating
ladakh,"I visited Cho palace in September with family and friends.Very good hotel with mesmerizing scenic view. Great location, really pleasant and clean rooms, but the thing that makes this such a good place to stay are the staff. All of the people are incredibly helpful and generous with their time and advice.We had our breakfast and dinner from the hotel's restaurant. The food tastes good. They offer a most wonderful breakfast.Highly recommended.",Vikas D,/Profile/256vikasd,,50
ladakh,The staff was so amazingand they are very helpful . We had breakfast and dinner and it was so delicious. Staff management is really helpful and will guide you throughout your stay. All day night support. Clean rooms and all the facilities are provided.,dipti_taragi,/Profile/dipti_taragi,"New Delhi, India",50
ladakh,Glad with the hospitality they provided. Dolkar maam arranged really nice cars and the drivers were having pretty good knowledge about the area. they were helpful in all the means. Will visit again. Thanks ,NishankJain007,/Profile/NishankJain007,"Bangalore District, India",50
ladakh,"I visited the website, had emailed requirements They responded promptly with total requirements along with regular follow up Impressed with talk behaviour-satisfied to book Hotel Traditional welcome to rooms to breakfast and dinner all were to the expectations Staff very good polite ready to help Kitchen staff too good to prepare on demand dishes with all courtesy and politeness Overall a. Very satisfying experience I recommend ",jayeshshah1,/Profile/jayeshshah1,"Mumbai, India",40
ladakh,Very good staffVery good breakfast and dinnerHot water 24 hours Wifi is okay They stop at 10pm Staff very good and cooperative Cleanennes very good In dinner lots of options for vegetarian Breakfast also very good Will stay again ,AJITPATEL62,/Profile/AJITPATEL62,"Harrow, United Kingdom",40
ladakh,Very good and comfortable rooms under a common man's budget.Food is absolutely awesome.The View towards the icy mountains from the Hotel room is impressive.Very near to Airport maximum travel from Hotel to airport takes 10mins. Staff is obedient and the overall ambiance is remarkable.Just love to be back here for the next time whenever I visit Leh in future.,rahulleo226,/Profile/rahulleo226,"Visakhapatnam (Vizag), India",50
ladakh,"Superb hospitality with delicious food. Staff is vey cooperative. Reception is proactive in helping you getting vehicle for market as well as some smart tips for shopping at leh market too.Overall excellent hotel and I strongly recommend for couples, families and even solo traveller too.",ponujosh,/Profile/ponujosh,"Mumbai, India",50
ladakh,"We had our Ladhak trip from 07.07.2018 to 14.07.2018 and the same was booked through Mr Singay Wangchuk of Hotel Cho Palace. The arrangements made by Mr Wangchuk at Lwh, Nubra Valley, Pangong and Tsomoriri Lake were excellent and made our trip of 04 adults memorable. The personal touch provided by Mr Wangchuk and his team was excellent. Any request made by us was honored with smile. The vehicle (a Mahindra Xylo) and the driver too was very good and the driver had all inclination to cover all the tourist places of our trip.  We recommend our fellow tourist to avail the facilities of Hotel Cho Place and in case they wish to make it memorable, take help of Mr Wangchuk to manage their package.    Once again thanks a lot Mr Wangchuk to make our trip to Ladhak wonderful!  - Vivake",_vivektripathi_2000,/Profile/_vivektripathi_2000,"Ghaziabad, India",50
ladakh,"I stayed for 4 days in last week of June 2018.On first day I was given good room( I booked triple sharing room through yatra.com).On 3rd day I went to Nubra valley trip(part of my package) on returning from there they shifted my family to small room not appropriate for triple bed,when I complained they said all room are full.On 5th day I went to Pangyong and after returning I was given very small unclean bad smelling room again that too after very long wait period.The manager of hotel (Mr Sagar) was totally non cooperative and I complained about this incident to yatra.com.I would not recommend this hotel for family stay whoever going to Leh.",vikaagar,/Profile/vikaagar,India,20
ladakh,"I stayed two nights here. This is outside the city, free from noise. Leh is generally not a noisy city, still staying here will give you calmness. Staff is good and friendly. Food is veg only. I am completely non-veg person, I had a little problem to adjust. They welcomed us with traditional Ladakhi style. They have a wonderful lawn to pass leisure time. A very good hotel with medium budget.",tarmaniYNWA,/Profile/tarmaniYNWA,"Dhaka City, Bangladesh",50
