location,review,name,user_profile,userloc,rating
ladakh,"We stayed at ""Ladakh Greens"" for 7 days. It was recommended by my father due to a previous stay there. We were overwelmed: 1) the rooms and bathrooms are excellent, spacey and clean 2) the food they serve was the best we had in Leh, every single dish (for both breakfast and dinner) was made freshly (even the noodels are handmade and the salad out of the garden), 3) the staff is supet friendly, the hostility stunning and they really do care for you (when i had to check my inhured knee, the hitel manager spent 3 hours with me to get to see a doctor at hospital), also when it comes to recommendations for activities in or around Leh. We strongly recommend this place as we felt like home there. ",randomrouter,/Profile/randomrouter,,50
ladakh,Right from the views from the hotel to the hospitality of the staff everything stands out about this place. The manager made it an amazing experience with tips for local sightseeing since our day trips were ruled out (closed passes). You will love your time at this place. ,Rakshita A,/Profile/RakshitaA4,,50
ladakh,The manager Doji provided information about everything you need to know to make your stay in fascinating Leh easy. The garden area of the hotel is also a great place to wind down from the rigours of travel around the local area.,Simon P,/Profile/D7147IEsimonp,,50
ladakh,We had booked this place through booking. Com when we arrived we were shocked to see that the road to the hotel was non existence and we tried getting there but were afraid we will hit our engine on the foot and a half high sewerage  hole so we had to run around for 2 hours to find a hotel I had called up the hotel about 10 times for different things but no one mentioned the road very unprofessional preying on tourists  ,jessie s,/Profile/jessies596,"Ludhiana, India",10
ladakh,"This is a very nice hotel. The place is nicely situated in a quiet and green area of town. The ladakhy owner is very helpful and a very knowledgable person. The chef, subash, prepares not only very good food, but is also focused on excellent service. We will for sure come back. Highly recommended!",TomCase,/Profile/TomCase,,50
ladakh,"It is a quaint hotel with modern amenities- warm water, heater etc. There are kittens to play with and kids can enjoy cycle ride in premises. Hotel owner is a friendly person. Food is average(though we had only 1 meal).  Overall an average stay to recommend.",Sbhu,/Profile/Sbhu,"Gurugram (Gurgaon), India",30
ladakh,"Taking a cue from the reviews on Tripadvisor we asked our agent to book this hotel and we're glad we did this. Around a kilometer walk from the main market, this hotel is slightly inside from the Fort Road and have a narrow entrance, but as soon as you enter the property you start liking it. Surrounded by greens with views of snow covered mountains in between and birds chirping around gives you an opportunity to relax in the open. Rooms: Nice neat n clean rooms with Tata Sky and LED TV, Heater, LED lantern, nice and comfortable beds, running hot water supply and clean bathrooms. Food was very tasty and was prepared fresh all the times. Subhash (If I'm not wrong with his name) helped us in all our needs . We were there for almost 3 nights and never had a complain regarding food",ARPIT S,/Profile/ArpitSeth,"New Delhi, India",40
ladakh,"Once we arrived at the hotel, the old gentleman took care of us and ensure that we were well-acclimatized. The wifi connection in the entire leh city was down and we could not contact our family, so he lent us his handphone for us to phone back to Singapore. He even lent us raincoats when he knew that we didn't have one. Such amazing hospitality and care is hard to find. The food, needless to say, was amazing. It was one of the best in Leh. the chef is very nice and friendly too !",Yannli,/Profile/Yannli,"Singapore, Singapore",50
ladakh,"Hotel Ladakh Greens is located 10 minutes from the main market and around 5 km from airport. It is a mid size hotel owned and managed by Mr Angchok. This old gentleman takes care of all your needs from travel to your food. The hotel provides an eating services managed by Subhash , a fantastic cook, which will really tickle your taste buds. We have travelled to Nubra valley crossing the great Kardungla Pass (18340 ft) the world highest motorable road. We also went to see the Pangong lake on our way back to Leh. The entire tour is arranged by the hotel San affordable cost. Leh is famous for wood carvings, brass and copper statues, apricots. Overall it is a amazing experience.",sanjay_d2000,/Profile/sanjay_d2000,"Mumbai, India",40
ladakh,"Staying at this hotel was a really special experience.  The rooms and grounds were very nice, and the owner was exceptional.  He personally made sure our stay in Leh was excellent, and arranged for tours and hiking each day that accommodated our needs.  The food is also excellent.  We want to go back!",Rachel F,/Profile/RachelF368,"Washington DC, District of Columbia",50
ladakh,the staff is so rude un avoidable to stay their is horrible very bad experience of the manager he cant behave properly avoid this hotel experience of ladakh is very good their is other hotel and cheep also .,Ishrat U,,"Navi Mumbai, India",10
ladakh,The best hotel in ladakh i have to say  Rooms are very nice the staff is very hospitable and they take care of the guests very nice The beat part of the hotel is its view and its food they have there own vegetables garden and use fresh produce the chef is amazing he make very good ladakhi food ,sreenivas r,,,50
ladakh,"I travelled to India for the first time with my partner this year. We stayed at Hotel Ladakh Greens for three nights (the entire length of our stay in Leh).  The staff were very welcoming and polite. Our room was clean and comfortable. The initial main feature that we loved was the hotel garden - they have nice tables and chairs there where we were served a welcome cup of chai. They also have a friendly hotel cat who will come out to greet you.  WiFi was great under the circumstances (the Indian government has cut the main cable to Jammu & Kashmir). When you come to a place like Ladakh, though, if you come for the internet, you're coming for the wrong reason!  The food at Ladakh Greens was amazing. Top-notch chef and kitchen staff capable of making cuisine from almost anywhere",Kaami_Sh,,"Melbourne, Australia",50
ladakh,"I travelled to Ladakh from Melbourne, Australia, with my partner. Hotel Ladakh Greens was a fantastic place to stay. The rooms were very clean and comfortable, the bathrooms were spacious and fantastic, and there was a quaint garden in the front. The hotel is located close to the main town centre, where all of the market stalls are held. The staff at Hotel Ladakh Greens were all so welcoming, polite and hospitable. The service was fantastic. The one thing I will give a special mention to is the food - it was made fresh for each meal and was some of the best food I had in my travels. We could not eat at a single restaurant because we were too satisfied by the food provided in the hotel and would start to crave it. In particular, try the paneer makhani - you will not be",Akanksha S,,,50
ladakh,"We originally only booked 3 nights at Ladakh Greens and ended up staying 6 nights in total. This is A lovely place to acclimatise to the altitude in lush gardens and the Food is really good too! This hotel became our base in Leh, as we came back after a trek for a few nights. The owner helped us arrange a trip to Pangon lake and was generally very helpful. Although Hotel Ladakh Greens is about a 15 minute walk from the main tourist area, this means it is quiet and peaceful. The rooms are clean and comfortable and the service was excellent. ",hirsonc,,"London, United Kingdom",40
ladakh,"We had an excellent stay at Ladakh Greens.The owner of the hotel and staff were very helpful, attentive and hospitable and we received the traditional greeting upon arrival which was amazing. The hotel food was excellent. There is hot water 24 hours and the hotel staff will provide any other necessary items like hair drier etc when requested.  The hotel is located a bit away from town approximately 1.5km so you will be able to enjoy the lush greenery and enjoy your meals in the little green lawn of the hotel, which also has an apple tree!  There is free wifi at the hotel however its not very good but this is the case every where in Ladakh I believe. We will definitely be staying in this hotel again in our next trip to Leh.",Lakhi L,/Profile/lakhil2016,,50
ladakh,"small hotel with best hospitality. owner of the hotel in an ex-army man, gives you full attention and best personalize services. we stayed in hotel  for almost 6 days . rooms are not so big but they are beautiful with superb view of snow capped mountain . hotel is located in hardly 15 min. walking distance from main town. being vegetarian it was tough to get good food but there food was awesome.",Yashaa D,/Profile/YashaaD,,50
