location,review,name,user_profile,userloc,rating
ladakh,This place is perfect for people who want to spend their holiday in a peaceful and luxurious way... The staffs are really courteous and they can guide you in the best possible way to enjoy your entire trip without having any altitude Sickness... They have oxygen cylinders to give you immediate treatment in any kind of emergency situation( basically the problems occurs due to lack of oxygen)... Food is another best thing about this place.... Now coming to the views this place will give you heavenly views. .. Leh Market is also nearby to this place.. So this place deserves a big thumbs up..,Sweetyg,/Profile/SWEETYG007,,40
ladakh,"i have been in this hotel twice during my visit to Ladakh, total of 7 days. the staff help me in organizing days trip to the surrounding of Leh and also if i wished to go downtown. it included half board and the cook was looking to do dishes that i liked he was wonderful. tea and coffee is available at all time including bottle water very important for western traveler. the room is large with full bathroom",uri1951,/Profile/uri1951,"Montreal, Canada",50
ladakh,This place is away from the Hustle and Bustle of the city. Stay here if you want to experience nature first hand.  The Hotel is well maintained with very courteous Staff. Rooms are comfortable. Hot water available round the clock. Food is good. ,GoutamV,/Profile/GoutamV,"Mumbai, India",50
ladakh,The hotel is located at a beautiful location and the room provides scenic view of Ladakh mountains. The room was equipped with all the amenities. The food provided by very good and all the hotel staff was very helpful and friendly. The team provided us with great hospitality. Overall a very good experience and worth the money!!!,Silky Jain,/Profile/silkyjain14,,40
ladakh,"For a Budget traveller, Himalayan Residency provides you all you would ask for.  The rooms are neat and cosy as well as well maintained.  All the staffs and the management is up to the mark.  Full credit goes to the Reception Staff who is always ready to help and the cooks who made wonderful veg and non-veg items everyday.  Away from the hustle and bustle of the market place and narrow roads of the city, my full marks to the management, and I hope things will get better day by day.  Would love to visit once again.",Mousam Chakrabarti,/Profile/mousamchak,"New Delhi, India",20
ladakh,"Neat rooms, good staff, amazing view ! They were helpful in booking me a bike to rent, the food was freshly made. The place was outside the market area but the view is worth it. I will suggest one must stay here while visiting Leh.",Prashant Vatwani,/Profile/Prashantvatwani,,50
ladakh,"Visited Ladakh from 6-11th May 2019. Our three night stay at Himalyan Residency hotel was very comfortable. Room was well maintained , cosy and the washroom was very clean.  Food was good. Hotel staff was very cooperative and helpful :) Overall it was a wonderful stay.",Garima Pushp,/Profile/garimapushp,,40
ladakh,"We travelled to Leh between May 4 and May 8 2019 and stayed at Himalayan residency. Sonam was simply fantastic and his team led by Sachin went the extra mile to make us as comfortable as possible.  Sonam also organized the tour in Leh to all must see locations like Khardunga La, Nubra Valley, Pangong lake etc and this was executed like clockwork.    The driver Stobdan was punctual, cheerful and helpful.  Overall this trip was made memorable by the arrangements made by Sonam and team. Thanks...Sonam and his team are highly recommended...",Ananth C Nag,/Profile/ananthcnag,"Bengaluru, India",50
ladakh,"I travelled solo to Leh in July 2018. The Himalayan Residency is a wonderful place to stay at, the hospitality of the staff and Sonam and his equally wonderful wife is commendable. Apart from this and the wonderful view overlooking the balconies, the rooms, linen and bathrooms are really clean. Food is great too.   When I came to stay at Himalayan residency, I told Sonam, the owner of Himalayan residency I did not want to do the typical touristy tour, that I wanted to see the lives of Ladakhis and experience the rich culture of Ladakh and Sonam and Rigzin made exactly that possible. Sonam customises your tours according to your wish and budget and often goes out of his way to ensure that you make the best memories in Ladakh. I was fortunate enough to visit both their villages",Asma,/Profile/Safarnaamaa,"Pune, India",50
ladakh,"Visited hotel Himalayan residency from 11th to 17 th September this year,it was an amazing experience,1rooms very clean, bathroom cleaner and spacious,staff including Sonam da the owner ,the manager Sachin the kitchen cabinet of jharkhand sooraj and Mithun gave a home ly feeling,food was very good, versatile in menu,as we had marwadi veg choices, arrangements for vehicle with Kashi marup was very good,I recommend you all for all who want a good hospitality Ian all,this is not a four star property but it will give you love care and good hospitality at good price so go for it without any second choice",drgovind,/Profile/drgovind,"Raipur, India",50
ladakh,"Awesome stay at the hotel. The staff went that extra mile to make us feel as homely as possibly. Food was yummy. Sonam and Rigzen, the dynamic couple, are such a delight to converse with. They ensured that we covered 'non-touristy' places as well. The sight seeing trips were very well arranged with all the nitty gritty details taken care off by them. Thank you for a very memorable trip.",Smitha R,/Profile/SmithaR89,,50
ladakh,"Staying at a hotel is not anymore just about halting for the night. It’s an experience of the place and to the local culture, and more so when your hotel hosts are local to the area.  Loved the stay at Himalayan Residency. Sonam and Rigzin are a super couple who spoke so much about the culture of people in Leh, history and types of monasteries, got us around to the most of the hidden places in Leh and were forever available for any question. And the food!!! Was so yumm and homely. Thank you Sonam and Rigzin!",Anu B,/Profile/anu_ub,"Bangalore District, India",50
ladakh,"Himalayan residency is new hotel in Leh Ladakh.Best hotel;room is clean,very comfortable bed, nice view and great breakfast(the package including dinner). Set in a quiet location. Staff(Mr.Sonam and his wife) are helpful,very friendly,very lovely and very nice❤❤.If you go to Leh ladakh >> I recommend Himalayan residency is great hotel.",Amm B,/Profile/AmmB22,,50
ladakh,"My first trip at india begin on 29 April - 5 May 2018 ,Delhi is crowed , traffic jam and dangerous but in Leh is different .  My group visit Mr.Sonam and his wife at Himalayan residency hotel . They sent the comfortable bus to pick up us at the airport and feed us with nice indian breakfast , lunch and dinner . The room is comfortable , clean , nice view from window and hot water . Mr. Sonam set the programme to travel in Leh such as Leh palace , Santi stupa , Hemis gompa , pangong lake ,nubra valley that the heaven on earth ,nice and beautiful place for traveller.  If you want to travel at Leh , Himalayan residency is waiting for you ^^",NuMai A,/Profile/numaia2018,,50
ladakh,"This hotel is perfect; peaceful, comfortable and nice service. You will get good service from reception and maid. You can see the good view from hotel. If you rest at this hotel and you have problems, you can call Sonam.....​he can help you.",werawat j,/Profile/werawatj2,,50
ladakh,We have stayed  in  himalayan  resiedency from 23rd april to 29th april.   We enjoyed each & every movements...     We were very well guided by the owner of the hotel...mr sonam  He is good person & also ready to co Operative .....he has made our trip memorable,Rajesh G,/Profile/RajeshG1217,,40
ladakh,"For the kind of hotels available, earlier we were disappointed but after looking around more hotels in Ladakh I found it penny worth!!   From the owners to the chef of the hotel an staff were extremely cooperative and we had very comfortable stay.   Food was good prepared. We gave low oil instructions,  chef made it.   The view of the mountains from the hotel is also spectacular. Recommend to stay on the 2nd floor. ",VishalAmarnani,/Profile/VishalAmarnani,"Mumbai, India",50
ladakh,"We stayed for 9 nights in Ladakh and almost 6 nights in this hotel. The people here are very friendly and accommodating., They let us keep our luggage here when we were staying in Tso Moriri & Nubra valley for a night each. The breakfast and dinner offered are good too.  It's a bit far from the main market area, but it is peaceful and the view outside the window is amazing. Waking up to mountain ranges is an amazing feeling.  Would be good to have heaters in the rooms though.",shrads1112,/Profile/shrads1112,"Pune, India",30
