location,review,name,user_profile,userloc,rating
ladakh,"We travelled from 19 April 2019 to 23 April 2019 and stayed in this property. Excellent and ward welcome with stalls and tasty kahwa, Complimentary rooms were upgrade at free of cost. Daily buffet breakfast and dinner was excellent for veg and non-veg both",Kusum Goyal,/Profile/Kusum1451,,40
ladakh,"I had visited Leh for 8 days in July2019.  My stay at Spic-n-Span was superb. The hotel has a very beautiful building. It is just a few minutes walk from the main market.There is a nice open air central court for sit-out. The rooms were just right, clean, comfortable. There restaurant serves buffet breakfast & dinner. So there is food for all choices. The kind of crowd at the place is mostly international. My room had a great view of snow capped mountains far away. The hotel had arranged a complete package for me. viz : (stay & travel back & forth) at Nubra & Pangong. This was really helpful & hassle free. Their free wifi, really helps to connect to the world since pre-paid phones don't work there,  Nothing really to complain !  Wishlist :   A good coffee machine. A more variety",Virendra Chawda,/Profile/virendrachawda,"Mumbai, India",50
ladakh,"There is little to say that was good about this place – with the exception of location which is close to the main market area in Leh. It does not live up to its name - the rooms are dated and gloomy with an over abundance of wood and peeling paint. Other members of our party had issues with cleanliness and plumbing. No water was provided in the room. Reception was decidedly unfriendly, restaurant staff were surly (eg would not lay a table for us outside for breakfast). Erratic wifi.",Richard D,/Profile/Richard54,"Wiltshire, UK",20
ladakh,Only 5 minutes walk from the hustle and bustle main market/bazaar area of Leh but this is a little oasis of calm. Lovely little hotel with excellent service and on site restaurant. Such a friendly feel about this place and great value for money. Highly recommended. ,John B,/Profile/340JohnB,"Weymouth, United Kingdom",50
ladakh,"In August I traveled solo to Leh. It was my first solo trip and I was very nervous and anxious. I am going to spend the next 15 days in a completely new place and I barely know anyone there. And my first interaction with the people from Leh was at the hotel. And it took me not more than few seconds to feel at home. It's common to receive warm welcomes generally in the hospitality industry.  But here.. their bright smiles were on a completely different level.  Such genuine and warm people. Since I was traveling alone and was there for a long time this was very essential for my stay.  The view from my windows were absolutely beautiful. The mountains shadowed here and there by the passing clouds, clear sky and a glimpse of the Shanti Stupa. Birds chirping outside the window. Warm",Meera,/Profile/meera_suresh,"Chennai, India",50
ladakh,The staff were very helpful  The food was good - they served good vegetarian option. The hotel kitchen was always ready to customize options for guests Great social evening on the last day of our stay and experience of Ladakh culture,Latha R,/Profile/tenunited,"Vadodara, India",40
ladakh,"This was the third time that I've stayed here in the past five years. The restaurant has grown since the first time and offers excellent food, including vegetarian options. The staff looked after us very well. If you are elderly, it is worth avoiding rooms of the top floor - there is no lift and Leh already lies at a high enough altitude.",Felicity234,/Profile/Felicity234,"Norwich, United Kingdom",40
ladakh,"We had book hotel almost two months before coming..no call nothing..thats fine..when we reached on 26 july we got to know for couple they dnt have double bed..thats basic in any hotel..dispointment begins..somehow we managed..we enquired also if you have any another room let us know either we will pay you extra as it was difficult to manage..staff denied  We had a book till 28 but bearing loss we checked out on 27 ..when we checked out at that time manager was sayin we have double bed,sweet room and all which was not use as we had already finalized..  Never visit..its suffocated and charging so high",Deepika,/Profile/Deepika-verma30,,10
ladakh,"This hotel is on the main road with great view to the icy mountains. The rooms are quite big for two with continuous hot water. The restaurant and the food they serve is delicious. Even though it’s little bit costlier the serving is more than enough for two. The front office staff and other staff are Betty cooperative.The internet connection is very poor and in leh throughout its the same story. Better take postpaid Airtel, Jio or BSNL. Prepaid doesn’t work. There is a small madras cafe opp to the hotel for South Indian food.",kalasubramanyam,/Profile/kalasubramanyam,"Chennai, India",50
ladakh,"Hotel is nice in terms of location, staff, food. But Do not expect very much out of it. Rooms are ok types with minimum amenities. You can hear sounds of rats in the night. Should provide electric kettles in rooms. ",Shweta S,/Profile/271shwetas,"Satna, India",30
ladakh,Hotel is located in main market area. Hotel is little expensive. But they provide good spread of Breakfast & Dinner menu. Rooms are big & clean. Restaurant ambiance is good. Hotel staff quickly attend any request.   Hemant Tambe from Thane,Hemant Tambe,/Profile/Rohittambe123,,50
ladakh,"Average hotel but well positioned.  The staff were average, rooms average and breakfast average.  Also if you wanted proper coffee it was not included with the complimentary breakfast,   Internet connection was hopeless and was only available if you were in or close to the office.  I think perhaps this hotel is catering for local rather than international travellers.",June N,/Profile/610junen,"Taumarunui, New Zealand",30
ladakh,Property is good and clean. Staff was really helpful and supportive. They did not hesitate to accept even single request.Dev and team were best in Kitchen. Food was also good. Location is plus as it is near main market.,Kapil Aditani,/Profile/KapilAditani,"Bengaluru, India",50
ladakh,"The hotel location is near market, which is convenient to go shopping.  Bathroom floor is wrongly constructed so that water flow to the wrong direction of the drainage and make the bathroom floor wet and flooded, very dangerous as it gets slippery.  On the 2nd night we stayed in, requested to change room and it was fine.  Shower is weak.  Room is fine.  Wifi is very slow and can only connect at the lobby.",Mama2010,/Profile/Mama2010,Indonesia,30
ladakh,Hotel is situated at a prime location near the market. The view from the rooftop to the mountains is beautiful. The food quality needs improvement. Some connectivity (Wi-Fi) issue persists  otherwise all basic amenities are available at this hotel.,Amandeep S,/Profile/48amandeeps,,40
ladakh,"For those who know and understand, this place is basically an Indian Fawlty Towers. Not everything works properly - both the hardware and software. Actually all the hotels here are locally operated and have their own quirky issues.   I stayed in three different rooms and all were very differently styled. Just finding your room is challenging. I recommend asking for the inner facing rooms away from the road and roaming dogs who bark at night time. Bring ear plugs just in case. Be thankful there is at least there is hot water for a shower.   Location is good and about 5-10 mins walk to town.   Hotel restaurant provides a very simple buffet breakfast. If you order a la carte then you actually get some decent local food. The ginger lemon honey tea here is fantastic especially in the",Mac,/Profile/macadvisor852,"Hong Kong, China",30
ladakh,"Spent a night prior to, and 3 nights after a Stok Kangri summit. The hotel is perfectly located to explore the town by foot, and the staff are welcoming and helpful. The exterior of the hotel is beautiful, reflective of the style that permeates the area, with the rooms being large and well kept. Wifi is available in reception and the gardened area, but not in rooms. The buffet style breakfast was more than adequate. The only gripe would be the beds being too soft, though this may have been accentuated after a long camping based trek.",TravelwithArif,/Profile/TravelwithArif,"Brisbane, Australia",40
