location,review,name,user_profile,userloc,rating
ladakh,We had a booking in Royal Holiday for 3 days and our experience is just awesome. It's  like home away from home. The view from the hotel rooms was just mind blowing. Rooms were clean. All the staffs were very helpful. Even at 6 am they provided our breakfast. The most important part was food. Food quality was just awesome.,Champ,/Profile/pikuchamp13,,50
ladakh,"Very good hotel having very friendly staff,Neat and cleanand  spacoious rooms.Good view from window outside,About 800m from main market,hot water available round the clock.Owner Mr.Guljar is a nice person. He manages the trips,vehicles and anything you require.",KRISHNA KANT,/Profile/KKSINGH1994,,50
ladakh,"I emailed the property because nobody’s answering their phone that I am going to arrive late from Kargil. Unfortunately, the bus that I took ran out of gas so my arrival was further delayed. I arrived in the property past 1 am. I tried to enter the hotel but the gate was locked. I tried hard to at least get the attention of the staff by knocking the gate but no one cared. I called their number and heard it ringing from the outside of the gate but no one bothered to answer it. I gave up and decided to look for another hotel. Unfortunately, all nearby hotels were also closed. I tried to knock, pressed the doorbells and I did everything but no one is awake in all nearby properties. The temperature was at -3 degrees celsius. It was below zero and it was freezing. I felt like my body",Glentoy,/Profile/Glentoy,"Davao City, Philippines",10
ladakh,"The hotel is just few years and so the facility has a great feel to it. The rooms are spacious, very nice interiors and clean to satisfaction. Sufficient parking space and a nice garden to enjoy the weather.  The owner is a extremely well behaved and ensures that minor things are taken care of. Service and food quality are good too.  Overall, a good place to enjoy your stay in Leh.",abhishek2433,/Profile/abhishek2433,"Hyderabad, India",50
ladakh,Royal Holiday is very good hotel having very friendly staff Ambience is very nice with variety of flowers in the enterence rooms are good and very clean we get delicious food located near to the leh market,manesha_gupta,/Profile/manesha_gupta,delhi,50
ladakh,It's been a tremendous experience staying at the Hotel. The Staff is extremely courteous and was always there to help. Even if it means going an extra mile to serve their guests. I will highly recommend the Hotel. It was worth every penny.,kapil k,/Profile/kapilk643,"New Delhi, India",50
ladakh,"This was very nice hotel. Located on changspa road, 7 minutes to local market, busy area you won't feel alone  Hotel is very clean, staff is very very cooperative, reception is very cooperative, they don't tell no for anything, rooms are spacious and clean, bathrooms are very clean, toiletries etc are all provided, tea and Breakfast was good. I ate dinner and lunch outside so cannot comment on that.   Wifi is available and working if its working in Leh  Don't know why very few reviews on TripAdvisor. Its a highly recommended place.  They also give tips for acclitimization in Leh ",Chandresh K,/Profile/chandreshk2016,"Mumbai, India",50
ladakh,"we have stayed in this Hotel for 3 nights with family .Location is just  10 minutes  away from main market , shops. Manager Sushant is very helpful and really takes care of guests very well . Staff is also very  mannered and service is very quick. Hotel is very well maintained. They have breakfast and dinner buffet which is very tasty . The mountain view from from room balcony is amazing.  Highly recommended for family stay.",trip4joy,/Profile/trip4happyness,"Chennai, India",50
ladakh,It was last day of our trip and we were really tired. This hotel is located close to market with most of the shops accessible by walk for purchase in remembrance of this wonderful place called Ladakh. Food and rooms are extremely good with all amenities available. Service was great and keep it up ,Kaushik M,/Profile/785kaushikm,"Navi Mumbai, India",50
ladakh,"A place for a convenient stay at a serene location. Near to the main market. Very good room service and delicious food. A big thanks to the Hotel Manager, Mr Susanta Khora who was always at our disposal. Strongly recommended place to try out if you are looking for a comfortable and serenic place for your stay. Keep up the good work.",KPrasant,/Profile/KPrasant,"Visakhapatnam (Vizag), India",40
ladakh,"The best thing about this hotel is their staff and the management. Leh, being at a very high altitude, the tourists do suffer from certain health conditions. This hotel's staff not only help you but guide you through various aspects so that you can easily adjust. The rooms are well maintained and sorted. We initially booked for 3 nights but ended up staying for 5 nights and were extremely happy with the cordial behavior.",PoulomisAbode,/Profile/PoulomisAbode,,50
ladakh,"The best thing about this hotel is their staff and the management. Leh, being at a very high altitude, the tourists do suffer from certain health conditions. This hotel's staff not only help you but guide you through various aspects so that you can easily adjust. The rooms are well maintained and sorted. We initially booked for 3 nights but ended up staying for 5 nights and were extremely happy with the cordial behavior.",PoulomisAbode,/Profile/PoulomisAbode,,50
ladakh,"Overall this hotel is good if you want hygienic hotel in good price. I stayed in this hotel from 27th August 2017 to 2nd September (off peak season). Following were Pros 1) Room was spacious with balcony having direct view of stok kangri snow capped mountain. 2) Bathroom were spacious and clean. 3) It is on Changspa road so you get many restaurants near by. 4) Food in hotel and service was excellent. 5) It is just at a walk-able distance from main market, it would be pleasure to walk in market every evening. 6) Manager and Staff was very helpful. They took care of my needs diligently. 7) Most of travel agencies which arrange shared taxi's around to Nubra valley or pangong or other places very near by. Cons. 1) Internet connection was intermittent ( seems same case with entire",IamTrue123,/Profile/IamTrue123,"Bengaluru, India",40
ladakh,"I was under confusion while i was booking hotel. I saw so many hotels from different portals. Then i came to know about ""Royal Holiday Ladakh"".   Royal Holiday Ladakh is recently built property, it was their first season while we visited ladakh, very well maintained property. I think they deserve more guests based on their service and location. They got Best Location (on changspa road), near by good restaurants (La La Piazzetta) and cafes, they have good parking space. We also find rooms are very comfortable, clean, specially we got best view from our room gallery. Specially Hotel Manager (sushant) was really supportive and all room services were very prompt and on time. We never had any issue from hotel staff.  only issue we found in this hotel is their bed mattress which was",Jitendra P,/Profile/JitendraP339,,50
ladakh,Visited last year booked for 2 nights but the service and excellent staff make us to stay for 4 nights they helped us in planing. Food was also good we loved to stay there and will come back again. Thanks again n Juley,SamXdreamer,/Profile/saifum022,"New Delhi, India",50
ladakh,Went for a short visit to leh got room no 204 on the first floor it hf an amazing view of the snow clad peaks and also barren mountains and  curtain of poplar trees in front of them first 2 days I did not step out of my room with such a mesmerising view on third day the manager Mr Sushant arranged for  a cab to take me around.  The rooms and toilet are very clean staff is very courteous and helpful and so is the owner Mr Gulzar  Food is very reasonably priced and made to your specification.  Due to drainage work on the road outside the hotel the road was blocked 200 m from the road .the day I as to catch the flight I as taken in a cab from the hotel to the point where road as blocked nd from there in another cab to the airport I cannot thank enough for the gesture.  I will let,rajan51,/Profile/rajan51,delhi,50
ladakh,"Very good hotel with helpful and hospitable staff. The deluxe room was clean, comfortable and with a nice bathroom with hot shower.  The hotel has also a good location close to main market and restaurants. Please note that in this period due to a local company that is doing works in Champsa road is very difficult and dangerous to get to the hotel. ",Solange,/Profile/sol13_11,"Milan, Italy",40
ladakh,"Amazing place to reside in Leh main area .. The place is very nearby to Leh main bazaar where u can access everything you need , desire , wish to fulfill your trip to Leh . Great hospitality by staff and the owner himself who is a very kind and soft hearted person . I had n amazing experience staying there . There is no place for car washing if you are travelling by your own vehicle but remember Leh is a very clean city , and that's the main reason that hotel doesn't have that facility and I completely agree with that , there are designated car washing compounds where you can do so , please keep Leh and its properties clean . The people are really genuine and friendly that will make your stay all the more rememberable !! Cheers ",668viveka,/Profile/668viveka,,50
ladakh,"Wow. Well after being sick from Dehli belly and puking out of a bus, and suffering from Altitude sickness, I could not think of a better place to rest my woes away. This hotel was only a year new and was FILLED with comfort and Luxury for the price. They were so accommodating and the food was also great. I would recommend this place for a higher end budget for sure. But even for what I'm used to in the States, it was nothing cost wise :)",giovannas247,/Profile/giovannas247,"San Diego, California",50
ladakh,"We arrived with an early morning flight and a complimentary breakfast was ready for us. We could leave part of our luggage during our several days trek. On the departure day, again a breakfast has been prepared especially for us outside normal hours. Rooms are large and clean. Complimentary water and tea has been provided throughout our stay. Staff is ready to help and the manager on duty was keen to fulfill our requests. Strongly recommended.",Pierre-Yves N,/Profile/Go659368,,40
ladakh,We stayed here for a week from 21st to 27th May. Very new hotel with everything that u need. Cozy bed; neat bathroom; 24 hrs of hot water; perfect room heaters which makes your stay truly comfortable. Located strategically just minutes walk from the main market. Our stay here was made special by the staff who were always there to help with a smile. Our trip was organised by MMT but the hotel Manager Sushant went out of the way each time to fulfill our requests. MMT mostly had veg on their set menu but Hotel staffs  went ahead and prepared non veg only for 2 of us just to satiate our cravings. Even the house keeping and restaurant staff were amazing; specially Sunil who always ensured that we ate well.Each day after a tiring trip we came back to this hotel which welcomed us just,Titlic,/Profile/Titlic,Kolkata,50
ladakh,"Newly built hotel with all amenities. View from balcony is amazing. Staff is very humble and service is quick. Hot water availabilty was an issue but since we were the first guests of the hotel, we can ignore that. Overall, it was a nice experience.",Varun G,/Profile/varung375,"Panchkula, India",40
