location,review,name,user_profile,userloc,rating
ladakh,"The rooms are good, The food is good, The staff is extremely polite and courteous. This property is located by the city river. highly recommendable. A special thanks to the manager (Vikram) for warm hospitality.",amarddave,/Profile/amarddave,"Mumbai, India",50
ladakh,"Excellent hotel by the banks of Suru River. We were delayed well past our intended check-in time thanks to the challenges of Zoji La. Nevertheless, the staff had warm food waiting for us in our room, even as we checked into the hotel at midnight. The rooms are large and tidy, well equipped and we had a nice view of the river flowing by. The food is very good - thanks to Chhutuk's hospitality we were able to enjoy a warm dinner after a long tiring ride from Srinagar and the breakfast buffet in the morning was filling and satisfying as well. The staff, led by Mr. Vikram, is very competent and we appreciate them for moving our reservation at our request and doing whatever they could to accommodate our specific case and needs. Overall, a highly recommend lodging option if you're",Malvika B,/Profile/90malvikab,"Columbus, Ohio",50
ladakh,The hotel is at a mindblowing location. Amazing property amazing food and wonderful service. The hotel looks grand on the outside. However I realised that not all the rooms were the same. The room that I was allocated was way too plain and simple and did not match one bit with the grandeur of the hotel on the outside.  Maybe if thatis looked in to then absolutely noissues. The hotel is just fantastic,rads2k,/Profile/rads2k,"Chennai, India",40
ladakh,We stayed here with family for two days. This hotel is located at breathtaking location facing lake in Kargil. Rooms are sufficiently big and clean. Service is prompt and food is very delicious. It’s truly a value for money hotel at very affordable budget.,neeraj404,/Profile/neeraj404,"Mumbai, India",50
ladakh,"5/5 for the views and location.  5/5 for the comfortable beds  5/5 for the hot water in the spacious bathrooms 3/5 for the food in general.   We had a fantastic balcony view of the river and the mountains really being the shining star in our journey from Srinagar to leh, Ladakh.  Warm and quick service for many of us (we were a large group) ",Farawayjfk,/Profile/Farawayjfk,"Singapore, Singapore",50
ladakh,"The entire staff are extremely polite, friendly and efficient. The Diner was great and Chief  Maan Singh was very humble and polite and made sure to serve us and be their while we were having our dinner.  Highly recommend if anyone visits Kargil. Location: Awesome,adjacent to river. Rooms: spacious,clean,well maintainedfood: breakfast was good with variety. dinner was good. room service: quick. best hotel in kargil, i stayed so far. Thank you.  ",SURJIT S,/Profile/443surjits,,50
ladakh,"I loved the chutuk height hotel very much.  We have stayed at several hotels on the strip but this one is now my favorite.  The staff is very friendly, helpful, courteous and nice.  The room was very clean and spacious.  There was plenty of closet room and lots of hangers. There is beautifull hearthrobing fantastic suru River  view.such a beautiful view I ever seen in this area.Iwill be staying there again on my next trip.",Gulzar H,/Profile/222gulzarh,,50
ladakh,We had booked this place through a tour organizer and were taken completely by surprise. The location on the banks of the river just outside Kargil town is beautiful. The hire is modern and squeaky clean. Dining in the lawns with the river flowing by is quite an experience. The little bridge down the road takes you to a picturesque village on the other side.   I could have spent the entire holiday and it would have been well worth it.,Rohit Agarwal,/Profile/Rohgit,"Gurugram (Gurgaon), India",50
ladakh,A wonderful property and very new  at a fabulous location away from the hustle bustle and congestion  of the main city  in a quite corner by the water the rooms are very nice and comfortable with good food and with staff and management always there to assist you. We had wonderful two nights there.,Ovi,/Profile/rajesho619,"Pune, India",50
ladakh,"Recommended by our dear Friend Rigzin ( Journey to Ladhak), this hotel, perched right on the river was the perfect start to our Zanskar adventure. Beautifully located away from the bustle, clean and comfortable, with staff that were obliging with any requests. A few housekeeping chinks but they will get these ironed out.  After 3 days and a 10 hr return leg, the comforts of this hotel beckoned and we had a super last evening.  When in Kargil look no further.",Rushil S,/Profile/rushilshah71,"Pune, India",40
