location,review,name,user_profile,userloc,rating
ladakh,"Me and my family stayed at hotel Horzay for good one week, and I would say that I felt it was home away from home for us. The hostess is an extremely helpful lady who always went out of her way to make our stay very comfortable. Whether we needed information about the good shopping outlets, eateries and places to see, she was more than happy to guide us with all the information along with the hand drawn maps to help us find our way around the city. We only ate breakfast at the hotel (as we were out sightseeing the rest of the day each day), and the breakfast was a delight as the hostess herself served it hot with a warm smile, making sure that her guests were well looked after and were served what they wanted.  It felt like a comfy homestay with hospitality par excellence. I",Tanuja Sodhi,/Profile/TanujaSodhi,,50
ladakh,"Though booked on a fixed, non refundable basis via b.com, the room has been given away to another guest before six p.m. This is a clear attempt of cheating, and in lack of fat alternatives, we ended up in a cellar like room with moisty bed linen and cell phoning Indian guests in front of the door - and still had to pay the full room fare. The entrance door is guarded by two lazy, growling dogs, who wouldn't let you pass without the owners intervention, and on top, they keep you awake during the night with their endless barking. Also be aware that the hotel is small and is about being enclosed by a tower tall new building on the main road side.",stargarten,/Profile/stargarten,"Berlin, Germany",10
ladakh,We stayed here for 3 nights. Neat and clean rooms. Friendly people and tasty breakfast. Rooms have heaters. They helped us getting our permits.   Walkable to Leh market. Would suggest this place for stay in Leh. ,Vinodkrao,/Profile/Vinodkrao,,50
ladakh,I had booked my stay at this hotel in Sept 2017 on my visit to Leh for 6th edition of Ladakh Marathon. I was amazed by the quality of service. Special thanks to Ms Rubina and her staff who went out of their  way to make my stay comfortable. The room was clean and very comfortable. The complimentary breakfast was lip smacking and over all food was of the highest quality. Ms Rubina also provided excellent guidance on the places I can visit in Ladakh. I had a memorable stay. Hoping to come again to this hotel when I come to participate in 7th edition of Ladakh marathon . ,Abhinav G,/Profile/AbhinavG357,,50
ladakh,"We had a beautiful, homely stay at this hotel. it was a hectic trip we had, however, this place was very homely and comforting. the rooms are large, very clean and had all the basic necessities required. The food here was good quality and well prepared. Rubina the manager was very helpful and went beyond her call of duty to advise and extend her help.",Sudeepa_Basu,/Profile/Sudeepa_Basu,New Delhi,50
ladakh,"We were there in September 2016.  The manager, a charming young girl called Rubina called me the previous evening to inform that the road leading to the hotel is under repair and our rooms (2) are in the second floor and the hotel doesn't have an elevator.  Was mildly surprised with this information because I booked the place sometime in early July.  Landed at Leh to find complementary transport from the hotel waiting.  Once checked in Rubina really took good care of us.  The rooms are remarkably spacious and clean and are generally well maintained. No. 206 on the 1st floor is probably the best.  Nothing much to write about the views, average at the best.  Rubina has excellent knowledge about the tourist circuit and she arranged for our transport to Nubra and Pang gong tao lake.",Sumanta RoyChowdhury,/Profile/SumantaRoyChowdhury,"Kolkata, India",50
ladakh,"The hotel was recommended by Booking but it was 2-3 times more expensive than similar guest houses in different location up of the Main Market. I had a very good care during the first days of adaptation and I am grateful for that. The manager acted as a travel agent and this service, unfortunately, was dissapointing (lack of permit which other agent arranged and a very old and uncomfortable car for 12 hours trip to monasteries).",19Jola57,/Profile/19Jola57,"Krakow, Poland",30
ladakh,"Stayed for six nights with a Trek in between.  This is a family run business. All members of the family are friendly and show a genuine concern for the well-being of guests. The personal touch is applied to everything. All reasonable requests are dealt with efficiently. They really will go out of their way to help you!  The staff particulary Rubina and her mother will offer reliable informative local advice on shopping,restaurants and tours in and around Leh.   The Hotel is clean and comfortable and has easy access to shops, reataurants and the main bazaar. It represents great value for money and you get a level of personal service that is really hard to find even in high end 5star hotels.  Have no hesitation in highly recommending this Hotel which is a hidden gem!",WilliamB47,/Profile/WilliamB47,"Hong Kong, China",50
ladakh,"The kind of place you're delighted to come back to after a day enjoying the spectacular scenery of Ladakh. Rubina and her family have created something wonderful here and a large part of that is down to the personal service on offer. As far as I could see, you're unlikely to find a better option in Leh.",garyreilly147,/Profile/garyreilly147,"Dublin, Ireland",50
ladakh,"This is a lovely hotel run by an incredibly sweet family. It is in a convenient location, not far from the shops and the center. The rooms are spacious and clean, and albeit not modern, they have a lot of charm! But what won our hearts over is the service and the family-like reception. We were treated with the best hospitality I have ever experienced! Wonderful breakfast, useful traveling tips, and always helpful. On top of that, when I forgot my phone in the hotel, the owners found a way to send it back to me through Delhi. If I ever go back to Leh (which I am planning to), I am going straight to Hotel Horzay! Home away from home indeed:)",tetshev,/Profile/tetshev,"Frankfurt, Germany",50
